physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,receptor_density_contrast_percent,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0027636628560983,11.671801362166368,11.67180136216539,0.1518948650299059,,,,gradient,500000.0,500000.0,61947.89700981854,100000.0,49068.63762309389,242.93292945026877,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002796037974879,11.81610914099942,11.81610914099942,0.1532047502403299,,,,gradient,500000.0,500000.0,60550.4840329217,100000.0,48346.058346118814,237.45287856047725,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0028284141389192,11.960603401422444,11.960603401422444,0.1544993141431533,,,,gradient,500000.0,500000.0,59199.53211667403,100000.0,47633.75086518147,232.1550279085256,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0028607913482526,12.10528438441516,12.10528438441516,0.1557857987968761,,,,gradient,500000.0,500000.0,57902.11173224776,100000.0,46931.61606506276,227.06710483234417,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002893169602913,12.25015233127058,12.25015233127058,0.1570515679761026,,,,gradient,500000.0,500000.0,56638.10169404135,100000.0,46239.491477368734,222.11020272173076,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0029255489029345,12.395207483592618,12.395207483592618,0.1583028729008113,,,,gradient,500000.0,500000.0,55414.942403827394,100000.0,45557.480862533506,217.31349962285253,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0029579292483504,12.540450083296362,12.540450083296362,0.1595399644879652,,,,gradient,500000.0,500000.0,54230.937623322,100000.0,44885.51780144407,212.6703436208706,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0029903106391944,12.685880372610514,12.685880372610514,0.1607630761377733,,,,gradient,500000.0,500000.0,53084.47216541616,100000.0,44223.531723085514,208.17440064869083,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0030226930755008,12.831498594078772,12.831498594078772,0.1619724243633952,,,,gradient,500000.0,500000.0,51974.007970799365,100000.0,43571.44824274678,203.819639101174,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.003055076557303,12.977304990554272,12.977304990554272,0.163176969708389,,,,gradient,500000.0,500000.0,50907.00824116964,100000.0,42929.09546496557,199.63532643595937,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0030874610846343,13.12329980520599,13.12329980520499,0.1643603125844646,,,,gradient,500000.0,500000.0,49864.06298352736,100000.0,42296.414502277315,195.5453450334406,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0031198466575295,13.269483281518069,13.269483281518069,0.1655304439936083,,,,gradient,500000.0,500000.0,48852.93487998453,100000.0,41673.40127084325,191.58013678425303,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0031522332760217,13.41585566328838,13.41585566328838,0.1666875219636571,,,,gradient,500000.0,500000.0,47872.35792967972,100000.0,41059.968537870285,187.73473697913616,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0031846209401447,13.56241719462976,13.56241719462976,0.1678316917619999,,,,gradient,500000.0,500000.0,46921.125864107504,100000.0,40456.026622912286,184.00441515336277,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0032170096499322,13.709168119969515,13.709168119969515,0.1689630867094034,,,,gradient,500000.0,500000.0,45998.08910940277,100000.0,39861.48360825826,180.3846631741285,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.003249399405418,13.856108684052847,13.856108684051849,0.1700925761566146,,,,gradient,500000.0,500000.0,45110.96173347368,100000.0,39276.122702420165,176.9057322881321,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0032817902066362,14.003239131940193,14.003239131940193,0.1711997074393032,,,,gradient,500000.0,500000.0,44240.939275065066,100000.0,38699.957295564775,173.4938795100591,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0033141820536202,14.150559709008624,14.150559709008624,0.1722943963881953,,,,gradient,500000.0,500000.0,43395.97881471956,100000.0,38132.90979206394,170.1803090773316,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0033465749464037,14.298070660951367,14.298070660951367,0.1733767365250645,,,,gradient,500000.0,500000.0,42575.12985533257,100000.0,37574.88079426394,166.9612935503238,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0033789688850208,14.445772233782115,14.445772233782115,0.1744468131621715,,,,gradient,500000.0,500000.0,41777.4854785268,100000.0,37025.76954839523,163.8332763863796,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.003411363869505,14.593664673829457,14.593664673829457,0.1755166650191699,,,,gradient,500000.0,500000.0,41010.99144464039,100000.0,36485.45249151519,160.82741742996234,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
