physical_condition,architecture,trajectory_id,K_D,K_C,n_binders,gradient_scale,displayed_removed_sites
constrained thermal motion,polarized,4,100.0,10.0,10,1.001,50000
constrained thermal motion,mixed,68,100.0,10.0,10,1.001,50000
