physical_condition,architecture,K_C,trajectory_count,rear_asymmetry_mean,lower_95_percent,upper_95_percent,mean_removed_sites,removed_sites_lower_95_percent,removed_sites_upper_95_percent
constrained thermal motion,mixed,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0
constrained thermal motion,mixed,0.1,64,0.36059467766945613,0.32704075637653346,0.39082517836834885,18080.5625,16164.71328125,20180.1859375
constrained thermal motion,mixed,1.0,64,0.37365854777061275,0.3224075194463084,0.4180003973096686,72410.484375,62844.533203125,83055.196484375
constrained thermal motion,mixed,10.0,128,0.24917375746036916,0.21107878447336512,0.2873737797136006,126990.6953125,115976.3310546875,138207.9091796875
constrained thermal motion,polarized,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0
constrained thermal motion,polarized,0.1,64,0.4191645948568311,0.368492201660077,0.46911262018457106,8966.390625,7787.5390625,10239.042578125001
constrained thermal motion,polarized,1.0,64,0.4186761530781791,0.3732345454281986,0.4607729179446116,17700.859375,15729.753515625,19745.566796875002
constrained thermal motion,polarized,10.0,128,0.33730223401372883,0.3014626508708565,0.3719135920749013,15354.453125,14204.2828125,16639.9306640625
