biological_replicate,condition,x,y,frame,quality,particle,movie,x_um,y_um,time_s,track_uid,movie_uid,global_track_uid,candidate_uid,source_kind,panel_a_tracklet_id,panel_a_n_steps,panel_a_final_parallel_L,panel_a_final_transverse_L,panel_a_final_alignment,panel_a_median_local_receptor_contrast_percent,panel_a_cutoff_percent,receptor_smooth,log_receptor_smooth,receptor_percentile
2025-12-03,SBA_noNAI,772.0550882184525,778.1126708279751,21,0.025981908664107323,3823,100XIAV070,100.36716146839883,101.15464720763677,42.20453191924095,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1448.5901040101091,7.278346020321426,19.74708579682881
2025-12-03,SBA_noNAI,770.8849305977351,775.9252410811644,22,0.022615667432546616,3823,100XIAV070,100.21504097770557,100.87028134055137,44.26424896025657,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1429.6916025818957,7.265214037465302,8.41623135581833
2025-12-03,SBA_noNAI,775.071139538688,773.1010533062389,23,0.07899756729602814,3823,100XIAV070,100.75924814002946,100.50313692981106,46.192579038381574,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1449.1866895099079,7.278757774262973,20.25885598629401
2025-12-03,SBA_noNAI,771.0981301103702,769.0456341951897,24,0.08325644582509995,3823,100XIAV070,100.24275691434813,99.97593244537467,48.19249505400658,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1434.5244464302523,7.268588677054009,10.4593229306638
2025-12-03,SBA_noNAI,770.9383302782508,769.9676508264912,25,0.04543539509177208,3823,100XIAV070,100.22198293617261,100.09579460744386,50.1508829934597,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1433.3541211671402,7.26777251604824,9.918788632088148
2025-12-03,SBA_noNAI,769.9562190907752,771.9417942648574,26,0.07167080044746399,3823,100XIAV070,100.09430848180078,100.35243325443147,52.150724057912825,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1426.1847215909331,7.262758130867444,7.22283576323569
2025-12-03,SBA_noNAI,767.0488262550393,771.9178466402811,27,0.03376441076397896,3823,100XIAV070,99.71634741315512,100.34932006323655,54.2207160012722,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1424.7494317564824,7.261751239877677,6.781926061542596
2025-12-03,SBA_noNAI,764.9616619434446,769.9719105132696,28,0.04052473604679108,3823,100XIAV070,99.4450160526478,100.09634836672505,56.15199188017845,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1441.334175890303,7.273324474658558,14.302165916420318
2025-12-03,SBA_noNAI,764.0112742271497,764.9923712946163,29,0.040346018970012665,3823,100XIAV070,99.32146564952946,99.44900826830012,58.150396909475326,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1446.2622713844737,7.276737763439546,17.824509540446115
2025-12-03,SBA_noNAI,766.1183581310344,765.9577164347263,30,0.08475365489721298,3823,100XIAV070,99.59538655703447,99.57450313651442,60.2207990090847,100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,2025-12-03::SBA_noNAI::100XIAV070::100XIAV070::3823,accepted_full_track,,,,,,,,1437.8394207821384,7.270896863604814,12.182545014780972
