biological_replicate,condition,ci_high_window_mean,ci_high_window_n_movies,ci_high_window_n_tracks,ci_high_window_n_events,ci_high_window_median_receptor_contrast_percent,high_gradient_cutoff_percent,drift_high_window_mean,transverse_high_window_mean,drift_high_window_n_movies,drift_high_window_n_tracks,drift_high_window_n_events,drift_high_window_selected_time_s,drift_high_window_median_receptor_contrast_percent,condition_label,top_fraction_reference,top_fraction_label
2025-11-17,SBA_NAI,0.0868922301767537,7,447,911,11.365105820687251,9.1966917756456,0.005388822068204479,-0.007596468580027092,7,822,18607,37202.984763183595,10.938579978498566,+ NAI,0.1,top 10.0% exact-step finite-aperture cue gate
2025-11-17,SBA_noNAI,0.18576210338607563,14,452,1469,14.280457608676869,9.1966917756456,0.015100631080730289,0.009863675551249977,14,896,34420,68812.61697851562,13.864348779765077,untreated,0.1,top 10.0% exact-step finite-aperture cue gate
2025-11-24,SBA_NAI,0.21355140095528422,6,264,492,11.421437187373293,9.1966917756456,0.014657863923962046,-0.0021472838362957803,6,925,32146,64262.56623510742,10.740552903580864,+ NAI,0.1,top 10.0% exact-step finite-aperture cue gate
2025-11-24,SBA_noNAI,0.3087394427079825,6,259,533,11.791004884300726,9.1966917756456,0.019714875398886562,-0.0013030898501504243,6,715,19382,38728.80678466797,10.976626948714411,untreated,0.1,top 10.0% exact-step finite-aperture cue gate
2025-12-03,SBA_NAI,0.17806578407253823,5,417,1169,13.894477556607917,9.1966917756456,0.0080289997666093,-0.0014124330610734287,5,736,20346,40658.60871777344,12.049669410325812,+ NAI,0.1,top 10.0% exact-step finite-aperture cue gate
2025-12-03,SBA_noNAI,0.11313381303887793,4,303,554,11.841250110650414,9.1966917756456,0.008348015249617534,0.00233576590501214,4,590,12186,24398.852348632812,11.065054597893468,untreated,0.1,top 10.0% exact-step finite-aperture cue gate
