comparison,metric,selection,n_biological_replicates,biological_replicate_mean_noNAI,biological_replicate_mean_NAI,biological_replicate_mean_delta_NAI_minus_noNAI,biological_replicate_sd_delta,biological_replicate_deltas,p_t_less,p_t_two_sided,p_exact_biological_replicate_blocked_movie_permutation,n_exact_permutations,star_exact,fast_component_index,slow_component_index,slow_mean_log10_d,fast_mean_log10_d,slow_weight_reference,fast_weight_reference,slow_sd_log10_d,fast_sd_log10_d,fast_posterior_0p5_threshold_log10_d,fast_posterior_0p5_threshold_d_um2_s
+NAI minus -NAI,mean_fast_component_posterior,tracks spanning at least 0.5 um with positive MSD-fit QC,3,0.5431621324255916,0.27996681042712906,-0.2631953219984627,0.10094689909640966,-0.368595;-0.16738565;-0.25360532,0.02285003876836139,0.04570007753672278,1.998001998001998e-05,600600,***,1,0,-3.425197281967142,-1.93069248681569,0.535690175620184,0.464309824379816,0.5070529348221542,0.4129885902142047,-2.610402600650162,0.0024524344003155046
+NAI minus -NAI,hard_fast_component_fraction,tracks spanning at least 0.5 um with positive MSD-fit QC,3,0.5418557561477598,0.27194329586696697,-0.2699124602807929,0.11711719348602707,-0.39928632;-0.17111921;-0.23933185,0.028703859173166296,0.05740771834633259,1.332001332001332e-05,600600,***,1,0,-3.425197281967142,-1.93069248681569,0.535690175620184,0.464309824379816,0.5070529348221542,0.4129885902142047,-2.610402600650162,0.0024524344003155046
+NAI minus -NAI,threshold_fast_fraction,tracks spanning at least 0.5 um with positive MSD-fit QC,3,0.5418557561477598,0.27194329586696697,-0.2699124602807929,0.11711719348602707,-0.39928632;-0.17111921;-0.23933185,0.028703859173166296,0.05740771834633259,1.332001332001332e-05,600600,***,1,0,-3.425197281967142,-1.93069248681569,0.535690175620184,0.464309824379816,0.5070529348221542,0.4129885902142047,-2.610402600650162,0.0024524344003155046
