condition,plot_condition,log10_d_eff_um2_s,mean_density,sd_density,n_biological_replicates,min_n_tracks,mean_n_tracks
noSBA_NAI,+ NAI,-5.0,0.027875424055796256,0.016203361427135247,3,81,202.0
noSBA_NAI,+ NAI,-4.990888382687927,0.029131628539882524,0.016682508872790085,3,81,202.0
noSBA_NAI,+ NAI,-4.981776765375854,0.03043041090842159,0.017166940483213437,3,81,202.0
noSBA_NAI,+ NAI,-4.972665148063781,0.03177244217626452,0.017656233886616683,3,81,202.0
noSBA_NAI,+ NAI,-4.9635535307517085,0.033158363272259926,0.018149932980027858,3,81,202.0
noSBA_NAI,+ NAI,-4.954441913439635,0.03458878316522099,0.018647546979985215,3,81,202.0
noSBA_NAI,+ NAI,-4.945330296127563,0.0360642770703049,0.019148549552188206,3,81,202.0
noSBA_NAI,+ NAI,-4.936218678815489,0.03758538474657179,0.019652378031558383,3,81,202.0
noSBA_NAI,+ NAI,-4.927107061503417,0.039152608896033024,0.020158432744550817,3,81,202.0
noSBA_NAI,+ NAI,-4.917995444191344,0.040766413673958474,0.020666076445919442,3,81,202.0
noSBA_NAI,+ NAI,-4.908883826879271,0.04242722331955453,0.021174633882452255,3,81,202.0
noSBA_NAI,+ NAI,-4.899772209567198,0.04413542091538619,0.021683391496458156,3,81,202.0
noSBA_NAI,+ NAI,-4.890660592255125,0.04589134728307007,0.022191597281997287,3,81,202.0
noSBA_NAI,+ NAI,-4.881548974943052,0.04769530002185196,0.02269846080699191,3,81,202.0
noSBA_NAI,+ NAI,-4.87243735763098,0.049547532695668785,0.023203153414429835,3,81,202.0
noSBA_NAI,+ NAI,-4.863325740318906,0.05144825417323411,0.023704808615877412,3,81,202.0
noSBA_NAI,+ NAI,-4.854214123006834,0.05339762812453996,0.024202522690437035,3,81,202.0
noSBA_NAI,+ NAI,-4.8451025056947605,0.0553957726759901,0.02469535550212528,3,81,202.0
noSBA_NAI,+ NAI,-4.835990888382688,0.057442760225139174,0.025182331548398895,3,81,202.0
noSBA_NAI,+ NAI,-4.826879271070615,0.05953861741475988,0.02566244125222805,3,81,202.0
noSBA_NAI,+ NAI,-4.817767653758542,0.061683325264665724,0.02613464250969334,3,81,202.0
noSBA_NAI,+ NAI,-4.808656036446469,0.06387681945843415,0.026597862504593544,3,81,202.0
noSBA_NAI,+ NAI,-4.7995444191343966,0.0661189907808697,0.0270509998009794,3,81,202.0
noSBA_NAI,+ NAI,-4.790432801822323,0.06840968570077904,0.027492926723893817,3,81,202.0
noSBA_NAI,+ NAI,-4.781321184510251,0.07074870709236346,0.027922492037918224,3,81,202.0
noSBA_NAI,+ NAI,-4.7722095671981775,0.07313581508732454,0.028338523932402916,3,81,202.0
noSBA_NAI,+ NAI,-4.763097949886105,0.07557072804859179,0.02873983332152431,3,81,202.0
noSBA_NAI,+ NAI,-4.753986332574032,0.07805312365548035,0.029125217466586414,3,81,202.0
noSBA_NAI,+ NAI,-4.744874715261959,0.08058264008901977,0.029493463927287532,3,81,202.0
noSBA_NAI,+ NAI,-4.735763097949886,0.0831588773052384,0.02984335484805647,3,81,202.0
noSBA_NAI,+ NAI,-4.7266514806378135,0.08578139838328525,0.030173671585036425,3,81,202.0
noSBA_NAI,+ NAI,-4.71753986332574,0.08844973093449604,0.0304831996789313,3,81,202.0
noSBA_NAI,+ NAI,-4.708428246013668,0.09116336855780018,0.030770734178750057,3,81,202.0
noSBA_NAI,+ NAI,-4.699316628701594,0.09392177232630694,0.03103508532157257,3,81,202.0
noSBA_NAI,+ NAI,-4.690205011389522,0.09672437228942171,0.03127508457384048,3,81,202.0
noSBA_NAI,+ NAI,-4.681093394077449,0.09957056897452339,0.03148959104046985,3,81,202.0
noSBA_NAI,+ NAI,-4.671981776765376,0.1024597348719944,0.03167749824931574,3,81,202.0
noSBA_NAI,+ NAI,-4.662870159453303,0.10539121588733326,0.03183774132031909,3,81,202.0
noSBA_NAI,+ NAI,-4.65375854214123,0.10836433274410846,0.03196930453111577,3,81,202.0
noSBA_NAI,+ NAI,-4.644646924829157,0.1113783823217173,0.03207122929409894,3,81,202.0
noSBA_NAI,+ NAI,-4.635535307517085,0.11443263891222355,0.032142622564032074,3,81,202.0
noSBA_NAI,+ NAI,-4.626423690205011,0.11752635538103322,0.032182665700427805,3,81,202.0
noSBA_NAI,+ NAI,-4.617312072892939,0.12065876421676151,0.032190623815205446,3,81,202.0
noSBA_NAI,+ NAI,-4.6082004555808656,0.12382907845640978,0.03216585564375909,3,81,202.0
noSBA_NAI,+ NAI,-4.599088838268793,0.12703649247285317,0.03210782398666686,3,81,202.0
noSBA_NAI,+ NAI,-4.58997722095672,0.13028018261268245,0.03201610678001484,3,81,202.0
noSBA_NAI,+ NAI,-4.580865603644647,0.13355930767360427,0.03189040886482107,3,81,202.0
noSBA_NAI,+ NAI,-4.571753986332574,0.13687300921192144,0.03173057454042112,3,81,202.0
noSBA_NAI,+ NAI,-4.562642369020502,0.1402204116720345,0.03153660100291504,3,81,202.0
noSBA_NAI,+ NAI,-4.553530751708428,0.1436006223314857,0.031308652787758955,3,81,202.0
