condition,gradient_bin,mean_value,sd_value,mean_median_receptor_contrast_percent,sd_median_receptor_contrast_percent,n_biological_replicates,min_n_movies,min_n_tracks,mean_n_tracks,mean_n_events,bin_lower_percent,bin_upper_percent,contrast_threshold_percent,metric
SBA_NAI,0,0.0862613346371115,0.03222520506614595,4.675852630733043,1.6492559816594528,3,5,554,1982.3333333333333,7910.666666666667,0.0,inf,0.0,chemotactic_index
SBA_NAI,1,0.08712132854985744,0.02961993199683214,4.961841545499849,1.604152822348378,3,5,549,1929.6666666666667,7196.333333333333,1.3932546508168322,inf,1.3932546508168322,chemotactic_index
SBA_NAI,2,0.09852528794697912,0.03343427996559247,5.294904588720631,1.656900784897846,3,5,548,1873.0,6504.0,2.0422978259518083,inf,2.0422978259518083,chemotactic_index
SBA_NAI,3,0.0991455834472373,0.029101346520764113,5.545251454172636,1.5502722813869496,3,5,547,1781.3333333333333,5792.0,2.614459557604828,inf,2.614459557604828,chemotactic_index
SBA_NAI,4,0.10102174237477428,0.03347429631188969,5.865020562334557,1.323975560747891,3,5,542,1669.3333333333333,5052.666666666667,3.1804672870230895,inf,3.1804672870230895,chemotactic_index
SBA_NAI,5,0.11119396716514578,0.04969144862193421,6.4320782012550595,1.5430227734979032,3,5,531,1504.3333333333333,4246.333333333333,3.784808417712415,inf,3.784808417712415,chemotactic_index
SBA_NAI,6,0.11907088485931461,0.042848702143137254,7.004785287824089,1.619030153907997,3,5,522,1319.3333333333333,3448.3333333333335,4.461288706882853,inf,4.461288706882853,chemotactic_index
SBA_NAI,7,0.10636520097776847,0.05902059947933416,7.690097770590229,1.3985723162749117,3,5,515,1090.6666666666667,2639.3333333333335,5.293953958863754,inf,5.293953958863754,chemotactic_index
SBA_NAI,8,0.11170248365394288,0.0627927733551613,8.203348665722293,1.4768261554869722,3,5,502,944.6666666666666,2208.6666666666665,5.834815513313703,inf,5.834815513313703,chemotactic_index
SBA_NAI,9,0.13327937537475243,0.06788500199014746,8.799097023810491,1.2295967169610313,3,5,482,773.3333333333334,1768.0,6.5192821014307984,inf,6.5192821014307984,chemotactic_index
SBA_NAI,10,0.1524009937155341,0.07003283665782281,10.11529833504883,1.2628468959470565,3,5,466,580.0,1307.6666666666667,7.497221835432341,inf,7.497221835432341,chemotactic_index
SBA_NAI,11,0.1562682745454916,0.06241282205138445,10.559332599058699,0.9427798025427843,3,5,373,480.6666666666667,1095.6666666666667,8.200725731839787,inf,8.200725731839787,chemotactic_index
SBA_NAI,12,0.15950313840152539,0.06533808419526026,12.227006854889487,1.4443466382884667,3,5,264,376.0,857.3333333333334,9.1966917756456,inf,9.1966917756456,chemotactic_index
SBA_NAI,13,0.22103357767494,0.09296601532661886,14.28000418548534,1.0059164378696535,3,5,174,279.6666666666667,640.6666666666666,10.773492239411073,inf,10.773492239411073,chemotactic_index
SBA_NAI,14,0.3209362677247951,0.08231898425785299,17.780201843159627,0.34533140862358086,3,5,96,180.66666666666666,409.0,13.858520620912364,inf,13.858520620912364,chemotactic_index
SBA_noNAI,0,0.060264837841475655,0.046476907501864666,4.717496177474602,1.1768675503814265,3,4,936,1507.6666666666667,6613.0,0.0,inf,0.0,chemotactic_index
SBA_noNAI,1,0.05620334980234277,0.05137700168467624,4.923293311132595,1.0964164363906843,3,4,918,1466.0,5964.333333333333,1.3932546508168322,inf,1.3932546508168322,chemotactic_index
SBA_noNAI,2,0.054032614676969896,0.04561796672851546,5.171388904298585,1.0725722714444592,3,4,891,1411.6666666666667,5321.333333333333,2.0422978259518083,inf,2.0422978259518083,chemotactic_index
SBA_noNAI,3,0.051560669206247654,0.045786989660810636,5.477311404406144,1.0049980616881133,3,4,867,1332.3333333333333,4642.0,2.614459557604828,inf,2.614459557604828,chemotactic_index
SBA_noNAI,4,0.05463459251823113,0.04230370458815614,5.8452325505465295,0.9263219676914826,3,4,833,1238.0,3990.6666666666665,3.1804672870230895,inf,3.1804672870230895,chemotactic_index
SBA_noNAI,5,0.059859620621277664,0.047244967908979106,6.38421767124396,0.9238266660426283,3,4,786,1118.6666666666667,3355.6666666666665,3.784808417712415,inf,3.784808417712415,chemotactic_index
SBA_noNAI,6,0.07566017168675317,0.05112566509696426,6.8641494040225455,0.8472351390081434,3,4,720,976.3333333333334,2726.6666666666665,4.461288706882853,inf,4.461288706882853,chemotactic_index
SBA_noNAI,7,0.09027617123198371,0.06238743232602547,7.508615098586829,0.6663046696907506,3,4,645,808.6666666666666,2118.3333333333335,5.293953958863754,inf,5.293953958863754,chemotactic_index
SBA_noNAI,8,0.10036409779102723,0.058407937845805724,8.19569213809957,0.8401695662427416,3,4,590,706.3333333333334,1808.3333333333333,5.834815513313703,inf,5.834815513313703,chemotactic_index
SBA_noNAI,9,0.11069597512103545,0.054412557886859086,8.949560964503263,0.929627359936177,3,4,524,590.3333333333334,1502.3333333333333,6.5192821014307984,inf,6.5192821014307984,chemotactic_index
SBA_noNAI,10,0.13759605799472166,0.0730470168117912,10.505488096496519,1.4998594555992255,3,4,433,468.3333333333333,1169.3333333333333,7.497221835432341,inf,7.497221835432341,chemotactic_index
SBA_noNAI,11,0.15473487747322215,0.07815438786358386,11.4076385425218,1.430295409814715,3,4,333,402.3333333333333,1009.3333333333334,8.200725731839787,inf,8.200725731839787,chemotactic_index
SBA_noNAI,12,0.20254511971097866,0.09887690740149184,12.637570867876002,1.4230034357011236,3,4,259,338.0,852.0,9.1966917756456,inf,9.1966917756456,chemotactic_index
SBA_noNAI,13,0.2418952000650675,0.13892011706291862,14.135718321096137,1.4428679263659272,3,4,183,267.0,671.0,10.773492239411073,inf,10.773492239411073,chemotactic_index
SBA_noNAI,14,0.35300199030485385,0.12788429804438328,20.041474239073576,4.316661985674716,3,4,104,181.0,452.0,13.858520620912364,inf,13.858520620912364,chemotactic_index
