explore_to_exploit_demand_ratio,explore_fraction,escape_fraction,exploit_fraction,simplex_x,simplex_y,explore_contribution,escape_contribution,exploit_contribution,explore_demand,escape_demand,exploit_demand
0.05,0.0447152231896085,0.2010264453469952,0.7542583314633963,0.5781556110786934,0.6532068760633647,0.0162711730198744,0.0727668978921997,0.3254234603974894,0.2236067977499789,1.0,4.47213595499958
0.0525598161705488,0.0466605464334727,0.2046000305844815,0.7487394229820457,0.5789697420755044,0.6484273611173537,0.0169790458386297,0.0740604526363846,0.3230423368212557,0.2292592771744447,1.0,4.361873649453644
0.0552506855176378,0.0486813220857358,0.2081978888994733,0.7431207890147908,0.5797582834068687,0.6435614813671449,0.0177143746131926,0.0753627936701013,0.3206181868555756,0.23505464368448,1.0,4.2543299052722645
0.0580793174820771,0.0507798157345625,0.2118181454060116,0.7374020388594258,0.5805191648357246,0.6386088984547025,0.0184779837557967,0.0766732423282375,0.3181508419326539,0.2409965092736347,1.0,4.149437695234705
0.0610527650033784,0.0529583136320787,0.2154588171359633,0.731582869231958,0.5812502517519423,0.6335693497283846,0.0192707051979689,0.0779910808224472,0.3156401712011336,0.2470885772418029,1.0,4.047131644703234
0.0641784421056258,0.0552191191377364,0.2191178115747964,0.725663069287467,0.58194934621853,0.6284426525911337,0.0200933770963257,0.079315551711136,0.313086083692336,0.2533346445033245,1.0,3.9473479908780384
0.0674641423836781,0.0575645488658969,0.2227929254416763,0.7196425256924267,0.5826141882878897,0.6232287088932371,0.0209468424307383,0.0806458574578841,0.3104885305087063,0.2597386039534327,1.0,3.850024543056701
0.0709180584357972,0.0599969285315641,0.2264818437370719,0.713521227731364,0.583242457602754,0.6179275093548229,0.0218319474926603,0.0819811600867018,0.307847507027072,0.2663044468945219,1.0,3.7551006438735177
0.0745488022911549,0.062518588489433,0.2301821390815056,0.7072992724290613,0.5838317752960364,0.6125391380018175,0.0227495402618564,0.0833205809426724,0.3051630551086087,0.2730362655237485,1.0,3.6625171314944622
0.0783654268831539,0.0651318589628001,0.2338912713693783,0.7009768696678216,0.5843797062032892,0.607063776597627,0.0237004686702775,0.0846632005666448,0.3024352653066752,0.2799382554835155,1.0,3.5722163027442537
0.0823774486221032,0.0678390649604308,0.2376065877619531,0.6945543472776161,0.5848837614007611,0.6015017090513347,0.0246855787523876,0.086008058692694,0.2996642790629489,0.2870147184764281,1.0,3.48414187714254
0.0865948711235316,0.0706425208811848,0.2413253230435685,0.6880321560752467,0.5853414010811918,0.5958533257817434,0.0257057126818719,0.087354154377062,0.296850290881564,0.2942700649463545,1.0,3.398238961826784
0.091028210151304,0.0735445248080737,0.2450446003649474,0.6814108748269788,0.5857500377784368,0.5901191280151419,0.0267617066953321,0.0887004462672181,0.2939935504702306,0.3017088168272581,1.0,3.314454017339987
0.0956885198377326,0.0765473524954541,0.2487614323970664,0.6746912151074795,0.5861070399508062,0.5842997319932685,0.0278543889043206,0.0900458530195327,0.2910943648366156,0.3093356103615176,1.0,3.2327348242619385
0.100587420246063,0.0796532510552547,0.2524727229184267,0.6678740260263185,0.5864097359315861,0.5783958730665811,0.0289845769978565,0.0913892538738331,0.2881531003275831,0.31715519898949,1.0,3.153030450663173
0.1057371263440564,0.0828644323504782,0.2561752688577076,0.6609602987918141,0.5866554182536147,0.572408409646664,0.0301530758384238,0.0927294893927956,0.2851701845982578,0.3251724563121181,1.0,3.075291220361376
0.1111504784609141,0.0861830661067095,0.2598657628126776,0.6539511710806128,0.5868413483529841,0.5663383269903942,0.0313606749553569,0.0940653623737338,0.2821461084972732,0.333392379128429,1.0,2.9994686819604266
0.116840974303484,0.0896112727549864,0.2635407960648599,0.6468479311801536,0.5869647616549367,0.5601867407874213,0.0326081459404723,0.0953956389398362,0.2790814278540297,0.3418200905498155,1.0,2.9255155786528113
0.122822802611579,0.0931511160221354,0.2671968621078038,0.6396520218700608,0.5870228730428342,0.5539549005215519,0.0338962397518078,0.0967190498173196,0.275976765153316,0.3504608431930435,1.0,2.853385818766556
0.1291108785363242,0.0968045952875258,0.2708303607048745,0.6323650440075996,0.5870128827086744,0.5476441925758457,0.0352256839323639,0.0980342918042538,0.2728328110822471,0.3593200224539737,1.0,2.7830344470383435
0.1357208808297453,0.1005736377281304,0.2744376024902463,0.6249887597816233,0.5869319823810579,0.5412561430506158,0.036597179751814,0.0993400294360143,0.269650325934174,0.3684031498640386,1.0,2.7144176165949068
0.1426692909383277,0.1044600902767844,0.2780148141242604,0.6175250955989552,0.586777361923738,0.5347924202631092,0.0380113992802402,0.1006348968514023,0.2664301408540089,0.3777158865315672,1.0,2.6474925616252203
0.1499734340980213,0.108465711421566,0.2815581440114788,0.6099761445669551,0.5865462162949564,0.5282548368974724,0.0394689824040555,0.1019174998624466,0.2631731589093238,0.387264036670101,1.0,2.5822175707264834
0.1576515225331586,0.1125921628772704,0.2850636685866544,0.6023441685360751,0.586235752854692,0.5216453517736563,0.0409705337953831,0.1031864182297793,0.2598803559716074,0.3970535512159016,1.0,2.5185519609072595
0.1657227008669993,0.1168410011629716,0.2885273991704236,0.5946315996666048,0.5858431990037261,0.5149660712042581,0.0425166198472621,0.1044402081442364,0.2565527813922357,0.4070905315369044,1.0,2.456456052231581
0.174207093857127,0.121213669122627,0.2919452893928468,0.5868410414845261,0.5853658101351099,0.5082192499089172,0.044107765588128,0.1056774049140073,0.2531915584580173,0.4173812332354283,1.0,2.395891143088217
0.1831258565747231,0.1257114874285566,0.2953132431789804,0.578975269392463,0.584800877875212,0.501407291456812,0.0457444515900609,0.1068965258552257,0.2497978846116431,0.4279320700470147,1.0,2.3368194860696816
0.192501227152835,0.1303356461103564,0.2986271232864745,0.5710372306031691,0.5841457385880591,0.4945327482090571,0.0474271108862893,0.108096073382382,0.2463730314229888,0.4387496178378222,1.0,2.279204264445961
0.2023565822351617,0.1350871961543762,0.3018827603808014,0.5630300434648223,0.5833977821132126,0.4875983207343927,0.0491561259143705,0.1092745382933445,0.2429183442980146,0.449840618703071,1.0,2.2230095692182834
0.2127164952636132,0.1399670412212291,0.3050759626291373,0.5549569961496336,0.5825544607039541,0.4806068566734855,0.0509318255023219,0.1104304032421213,0.239435241912968,0.4612119851690904,1.0,2.168200376738645
0.2236067977499789,0.1449759295308901,0.3082025257891996,0.5468215446799103,0.5816132981291547,0.4735613490294497,0.0527544819157346,0.1115621463907855,0.2359252153627321,0.4728708045015879,1.0,2.114742526881128
0.23505464368448,0.1501144459667206,0.3112582437645168,0.5386273102687625,0.580571898898898,0.4664649338648312,0.0546243079845509,0.1126682452302364,0.2323898270134775,0.4848243431228263,1.0,2.062602701751422
0.2470885772418029,0.1553830044511929,0.3142389195927262,0.5303780759560808,0.5794279575707666,0.4593208873882785,0.0565414543287091,0.1137471805577088,0.2288307090512613,0.4970800511404606,1.0,2.01174840492126
0.2597386039534327,0.1607818406471381,0.3171403768286077,0.5220777825242543,0.5781792680907348,0.4521326224174516,0.0585060067022417,0.1147974405971655,0.2252495617198704,0.5096455669908576,1.0,1.9621479411748493
0.2730362655237486,0.1663110050389661,0.3199584712787245,0.5137305236823093,0.5768237331198791,0.444903684208363,0.0605179834756389,0.115817525246965,0.2216481512430262,0.5225287221997932,1.0,1.9137703967546529
0.2870147184764281,0.1719703564484688,0.3226891030398158,0.5053405405117155,0.5753593732956735,0.4376377456453049,0.0625773332763503,0.1168059504374793,0.2180283074280377,0.5357375462634928,1.0,1.8665856200942248
0.3017088168272581,0.1777595560394849,0.3253282287885234,0.4969122151719917,0.5737843363745193,0.4303386017897439,0.0646839328071763,0.1177612525796895,0.2143919209500955,0.5492802716530588,1.0,1.8205642030260805
0.31715519898949,0.1836780618648572,0.3278718742657137,0.4884500638694291,0.5720969062004282,0.4230101637910571,0.0668375848619904,0.1186819930842195,0.2107409403186396,0.5631653389454024,1.0,1.7756774624529008
0.333392379128429,0.1897251240077135,0.3303161468946249,0.4799587290976616,0.5702955114434557,0.4156564521666683,0.0690380165577269,0.1195667629288122,0.2070773685295672,0.5774014020838788,1.0,1.7318974224706345
0.3504608431930436,0.195899780367151,0.3326572484684071,0.4714429711644417,0.568378734050628,0.4082815894640211,0.0712848778008577,0.1204141872509238,0.2034032594094743,0.5919973337719044,1.0,1.689196796932363
0.3684031498640386,0.2022008531358843,0.3348914878393781,0.4629076590247375,0.5663453173517469,0.4008897923218076,0.0735777400056628,0.1212229299409392,0.199720713660611,0.6069622310029172,1.0,1.6475489724420658
0.387264036670101,0.2086269460143247,0.3370152935395654,0.4543577604461098,0.5641941737626204,0.3934853629529355,0.0759160950804774,0.1219916982105151,0.196031874617751,0.6223054207301275,1.0,1.606927991767672
0.4070905315369044,0.2151764422019118,0.3390252262598937,0.4457983315381944,0.5619243920289909,0.3860726800767938,0.0782993546967685,0.122719247109755,0.1923389237307043,0.6380364656795914,1.0,1.5673085376630795
0.4279320700470148,0.2218475032023208,0.3409179911137582,0.4372345056839209,0.5595352439557187,0.378656189333407,0.0807268498543688,0.1234043839663381,0.1886440757887105,0.6541651703102319,1.0,1.528665917089042
0.449840618703071,0.2286380684744513,0.3426904496097563,0.4286714819157924,0.5570261905676526,0.3712403932169978,0.0831978307544768,0.1240459727193692,0.1849495739054051,0.6707015869245212,1.0,1.4909760458230987
0.472870804501588,0.2355458559559028,0.3443396312580536,0.4201145127860435,0.5543968876510754,0.363829840571236,0.0857114669901411,0.1246429381206138,0.1812576842854195,0.6876560219336322,1.0,1.4542154334489534
0.4970800511404606,0.2425683634799867,0.3458627447352919,0.4115688917847213,0.5516471906276526,0.3564291156929771,0.0882668480618897,0.1251942697759347,0.177570690795934,0.7050390422809651,1.0,1.4183611687159443
0.5225287221997932,0.2497028711012843,0.3472571885340993,0.4030399403646165,0.5487771587164075,0.349042827095523,0.0908629842239636,0.1256990260001672,0.1738908893686066,0.722861482028053,1.0,1.3833909052594833
0.549280271653059,0.256946444338371,0.3485205610251793,0.3945329946364497,0.5457870583434041,0.3416755959863151,0.0934988076642939,0.1261563374593612,0.1702205822592339,0.7411344491069478,1.0,1.3492828476735632
0.5774014020838789,0.2642959383356802,0.3496506698626146,0.386053391801705,0.5426773657634671,0.3343320445174237,0.0961731740189392,0.1265654105752828,0.1665620721942206,0.7598693322433002,1.0,1.3160157379266533
0.6069622310029172,0.271748002939617,0.3506455406664255,0.3776064563939573,0.5394487688634042,0.3270167838701879,0.0988848642192045,0.1269255306682978,0.1629176564344237,0.779077808054444,1.0,1.2835688421125164
0.6380364656795916,0.2792990886770608,0.3515034249205502,0.369197486402389,0.5361021681217447,0.3197344022378287,0.1016325866671249,0.1272360648162576,0.1592896207881677,0.7987718483269122,1.0,1.2519219375276875
