function,architecture,phi_b,chi_C,N_b,explore_score,escape_score,exploit_score
explore,polarized,0.0330408006445325,0.2542631229961705,4.548462867736816,0.3638844192028045,0.0,0.0
escape,mixed,0.0330408006445325,0.2542631229961705,4.548462867736816,0.0,0.3619767427444458,0.0
exploit,polarized,0.0399101207856892,0.0336638706060434,1.095105528831482,0.0,0.0,0.4314482808113098
