explore_to_exploit_demand_ratio,reader_cleaver_coordinate,explore_density,escape_density,exploit_density,total_density,explore_fraction,escape_fraction,exploit_fraction,explore_escape_center,exploit_center,display_width
0.05,-2.2238219374440007,9.969757504854463e-05,0.0004482108707528,2.7684111876238088e-08,0.0005479361299133,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.219748097407022,0.0001033899266906,0.0004648105939037,2.942158693030221e-08,0.0005682299421812,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.215674257370044,0.0001072074173653,0.0004819729052095,3.126472163342656e-08,0.0005892115872965,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.2116004173330652,0.0001111538256718,0.0004997147921363,3.3219723471436036e-08,0.0006109018375316,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.2075265772960866,0.0001152330268687,0.0005180536767034,3.529315097174676e-08,0.000633321996723,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.203452737259108,0.0001194489947233,0.0005370074237956,3.7491932725066715e-08,0.0006564939104517,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1993788972221298,0.0001238058033741,0.0005565943495374,3.982338738885515e-08,0.000680439976299,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.195305057185151,0.0001283076292066,0.0005768332297245,4.2295244720423254e-08,0.0007051831541759,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1912312171481725,0.0001329587527405,0.0005977433083105,4.4915667689728195e-08,0.0007307469767188,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.187157377111194,0.0001377635605292,0.0006193443059447,4.76932757242002e-08,0.0007571555597497,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1830835370742157,0.0001427265470691,0.0006416564285566,5.0637169140292085e-08,0.0007844336127949,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.179009697037237,0.000147852316719,0.0006647003759842,5.375695481892047e-08,0.000812606449658,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1749358570002584,0.0001531455856279,0.000688497350641,5.70627731845213e-08,0.0008416999990421,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1708620169632797,0.0001586111836705,0.0007130690662183,6.05653265501266e-08,0.0008717408152154,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.1667881769263015,0.0001642540563896,0.0007384377564175,6.427590889363933e-08,0.0009027560887161,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
