date,condition,selection_label,min_bbox_span_um,movie,particle,track_uid,contiguous_points,duration_s,bbox_x_span_um,bbox_y_span_um,bbox_max_span_um,bbox_diag_um,stuck_by_bbox_0p20,body_scale_mobile_bbox_0p50,fit_lag_min_s,fit_lag_max_s,fit_points,msd_slope_um2_s,intercept_um2,d_eff_um2_s,d_eff_um2_s_clipped,log10_d_eff_clipped_floor,fit_r2,passes_fit_qc,passes_diffusion_qc,fast_tail_d_eff_gt_1e_minus_3,fast_tail_d_eff_gt_1e_minus_2,plot_condition,plot_color,log10_d_eff_um2_s
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV001,12,2025-11-17::noSBA_noNAI::100XIAV001::12,62,121.88951977539062,3.2717834605591065,3.011089438814551,3.2717834605591065,4.446484748801985,False,True,1.999710937499998,19.9981689453125,10,0.1174104592495306,-0.0344742685984319,0.0293526148123826,0.0293526148123826,-1.5323532045354005,0.9995370636935368,True,True,True,True,- NAI,#191C23,-1.5323532045354011
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV001,75,2025-11-17::noSBA_noNAI::100XIAV001::75,62,121.88951977539062,0.6478892979678221,0.6407082841092677,0.6478892979678221,0.911190236859175,False,True,1.999710937499998,19.9981689453125,10,0.0017837884809002,0.0432401216099572,0.000445947120225,0.000445947120225,-3.3507166362564766,0.7435834775559771,True,True,False,False,- NAI,#191C23,-3.3507166362565464
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV002,7,2025-11-17::noSBA_noNAI::100XIAV002::7,62,121.91913208007811,5.22300543314492,2.8676524107893613,5.22300543314492,5.95845752722694,False,True,1.999450195312498,20.004733032226564,10,0.1575726465729011,-0.1726160859984297,0.0393931616432252,0.0393931616432252,-1.40457916188941,0.9977749574074531,True,True,True,True,- NAI,#191C23,-1.4045791618894108
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV002,104,2025-11-17::noSBA_noNAI::100XIAV002::104,38,74.11581298828125,3.649831304049478,6.252198491182668,6.252198491182668,7.23956176306041,False,True,1.999450195312498,18.006308105468747,9,0.5051182815949998,-1.046436836409929,0.1262795703987499,0.1262795703987499,-0.8986669042407774,0.979545502850947,True,True,True,True,- NAI,#191C23,-0.8986669042407777
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV003,33,2025-11-17::noSBA_noNAI::100XIAV003::33,48,93.95290698242188,0.3884980179081836,0.6546727659460174,0.6546727659460174,0.7612667997423743,False,True,1.998983154296873,20.005739501953123,10,0.0015882405608694,0.0183748491000633,0.0003970601402173,0.0003970601402173,-3.4011437083844007,0.9310441543215184,True,True,False,False,- NAI,#191C23,-3.4011437083844767
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV003,64,2025-11-17::noSBA_noNAI::100XIAV003::64,48,93.95290698242188,3.107777414842815,4.299768169300876,4.299768169300876,5.305307415215455,False,True,1.998983154296873,20.005739501953123,10,0.1193684235765099,0.2442147326555038,0.0298421058941274,0.0298421058941274,-1.5251705328773728,0.9787409579461458,True,True,True,True,- NAI,#191C23,-1.5251705328773741
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV003,67,2025-11-17::noSBA_noNAI::100XIAV003::67,37,71.95687377929687,5.976553425824179,2.6130534928758493,5.976553425824179,6.522824496210319,False,True,1.9992908935546856,18.001218139648437,9,0.2107994256596003,-0.0319505172421066,0.0526998564149,0.0526998564149,-1.278190568056932,0.9922373762073952,True,True,True,True,- NAI,#191C23,-1.2781905680569328
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV003,70,2025-11-17::noSBA_noNAI::100XIAV003::70,46,90.0417431640625,3.7678249628476976,4.0202902386367185,4.0202902386367185,5.509921828259992,False,True,1.998983154296873,20.006205566406248,10,0.1674956051851658,0.00017742922936,0.0418739012962914,0.0418739012962914,-1.3780565749931348,0.9969472581557868,True,True,True,True,- NAI,#191C23,-1.3780565749931355
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV003,71,2025-11-17::noSBA_noNAI::100XIAV003::71,37,71.95687377929687,1.95449448409596,3.6297850768326185,3.6297850768326185,4.122546348115241,False,True,1.9992908935546856,18.001218139648437,9,0.118946075303196,-0.0715524305579714,0.029736518825799,0.029736518825799,-1.526709874524117,0.996158068686853,True,True,True,True,- NAI,#191C23,-1.5267098745241172
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV004,179,2025-11-17::noSBA_noNAI::100XIAV004::179,33,63.89776489257812,1.1748037078425249,1.3177300811877617,1.3177300811877617,1.7653827683614818,False,True,1.9946386718749984,15.995688964843753,8,0.0206997906632205,0.0288042588931818,0.0051749476658051,0.0051749476658051,-2.2860940378646624,0.9885733205473276,True,True,True,False,- NAI,#191C23,-2.286094037864665
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV005,36,2025-11-17::noSBA_noNAI::100XIAV005::36,148,293.8928449707031,3.274490761999445,3.354540172142009,3.354540172142009,4.687774473770496,False,True,1.9997290039062536,19.998513916015625,10,0.0463752021480048,-0.017445584323164,0.0115938005370012,0.0115938005370012,-1.9357741756251468,0.999262023315496,True,True,True,True,- NAI,#191C23,-1.9357741756251474
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV005,1073,2025-11-17::noSBA_noNAI::100XIAV005::1073,112,222.07080712890624,6.255497074696152,4.92738693875917,6.255497074696152,7.963063838484945,False,True,1.9997480468749984,19.998513916015625,10,0.190147957517546,0.0112895451068286,0.0475369893793865,0.0475369893793865,-1.3229683265481402,0.9988600517275972,True,True,True,True,- NAI,#191C23,-1.3229683265481402
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV005,2055,2025-11-17::noSBA_noNAI::100XIAV005::2055,73,144.00674194335934,4.4130346120855535,5.460823026332683,5.460823026332683,7.021072753674494,False,True,1.999813476562494,19.997460205078113,10,0.1117386529784588,0.0509455685736721,0.0279346632446147,0.0279346632446147,-1.553856559739189,0.997007511555842,True,True,True,True,- NAI,#191C23,-1.553856559739189
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV031,38,2025-11-17::noSBA_noNAI::100XIAV031::38,32,62.00616992187499,0.7665438119730936,1.036432027227974,1.036432027227974,1.2891007574034428,False,True,1.9997480468749984,15.996389038085937,8,0.0123396849023203,0.0220229861897202,0.00308492122558,0.00308492122558,-2.510755921333391,0.9669017574295218,True,True,True,False,- NAI,#191C23,-2.5107559213334025
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV031,40,2025-11-17::noSBA_noNAI::100XIAV031::40,32,62.00616992187499,0.4990609564597079,0.6470514081232359,0.6470514081232359,0.8171519828139322,False,True,1.9997480468749984,15.996389038085937,8,0.0040364671060372,0.0217575179324885,0.0010091167765093,0.0010091167765093,-2.99605857364508,0.9199462201407388,True,True,True,False,- NAI,#191C23,-2.9960585736450907
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV031,229,2025-11-17::noSBA_noNAI::100XIAV031::229,32,62.00616992187499,2.0661340364333896,1.8102221937367773,2.0661340364333896,2.746964551501479,False,True,1.9997480468749984,15.996389038085937,8,0.0374420192754061,0.1644387405557355,0.0093605048188515,0.0093605048188515,-2.0287007288121517,0.8882937616579524,True,True,True,False,- NAI,#191C23,-2.028700728812154
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV032,62,2025-11-17::noSBA_noNAI::100XIAV032::62,40,77.88177197265624,0.7733626868322574,1.4226058160436563,1.4226058160436563,1.619227332163599,False,True,1.999262939453132,19.99696606445313,10,0.015050289886885,-0.0111032854426243,0.0037625724717212,0.0037625724717212,-2.424515126277696,0.965199449481215,True,True,True,False,- NAI,#191C23,-2.424515126277703
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV032,64,2025-11-17::noSBA_noNAI::100XIAV032::64,42,81.88093188476562,1.0682804140817552,1.562861156264617,1.562861156264617,1.8930816244608848,False,True,1.9993369140625,19.996732543945313,10,0.0325232620073578,-0.0230434485041502,0.0081308155018394,0.0081308155018394,-2.0898658934973033,0.997787811819883,True,True,True,False,- NAI,#191C23,-2.089865893497306
2025-11-17,noSBA_noNAI,bboxspan_0p50,0.5,100XIAV032,81,2025-11-17::noSBA_noNAI::100XIAV032::81,61,119.882630859375,2.6271732505283723,2.7349052663063844,2.7349052663063844,3.79232726751822,False,True,1.9995799560546883,19.99718017578125,10,0.0714963907459353,0.1964930779403632,0.0178740976864838,0.0178740976864838,-1.747775872865173,0.9800870243211744,True,True,True,True,- NAI,#191C23,-1.7477758728651742
