date,condition,movie,global_track_uid,successful_passage_fraction,escape_passage_fraction,signed_passage_fraction,decision_fraction,productive_share,up_passage_count,down_passage_count,decision_count,first_passage_risk_time_s,up_first_passage_rate_s,down_first_passage_rate_s,decision_first_passage_rate_s,excess_first_passage_rate_s,first_passage_log_rate_ratio,up_first_passage_score_s,down_first_passage_score_s,net_first_passage_score_s,signed_first_passage_rate_s,episode_drift_speed_um_s,episode_receptor_gain_rate_s,selected_time_s,n_episodes,n_events,median_receptor_contrast_percent,value
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1332,0.0,1.0,-1.0,1.0,0.0,0,1,1,2.016624023437501,0.0,0.4958782541405105,0.4958782541405105,-0.4958782541405105,-1.0986122886681098,0.0,0.4958782541405105,-0.4958782541405105,-0.4958782541405105,-0.6483681474185145,-0.1538788929896416,2.016624023437501,1,1,11.866629599426826,-0.4958782541405105
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1359,0.0,0.0,0.0,0.0,,0,0,0,22.103794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023041481968128,-0.0019552928407739,22.103794921875,5,11,15.899245636907638,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1377,0.0,0.0,0.0,0.0,,0,0,0,1.984737060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809902667981501,0.0156245927420735,1.984737060546875,1,1,9.645969423100135,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1382,0.0,0.0,0.0,0.0,,0,0,0,3.9317509765624976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676170614771652,0.0218464464013901,3.9317509765624976,1,2,14.273823006389472,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1393,0.0,0.0,0.0,0.0,,0,0,0,61.88654956054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241882023184322,-0.0065017512734605,61.88654956054688,6,31,21.107825971078988,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1395,0.5,0.0,0.5,0.5,1.0,1,0,1,4.07255493164063,0.2455461047881187,0.0,0.2455461047881187,0.2455461047881187,1.0986122886681098,0.2494638901628031,0.0,0.2494638901628031,0.2494638901628031,0.057470281679522,0.0128352214762375,4.07255493164063,2,2,11.176610333631096,0.2494638901628031
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1398,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,1.0,1,0,1,35.87843652343751,0.0278718945667198,0.0,0.0278718945667198,0.0278718945667198,1.0986122886681098,0.0213167928343933,0.0,0.0213167928343933,0.0213167928343933,0.0997498778067046,0.0313841984899452,37.917474609375,12,19,12.41037647735817,0.0213167928343933
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1405,0.0,0.0,0.0,0.0,,0,0,0,89.95810986328127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000745381005818,4.656582681890819e-05,89.95810986328127,4,45,10.056355110681377,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1453,0.0,0.0,0.0,0.0,,0,0,0,2.0980180664062473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0951819158738715,-0.0196744414083011,2.0980180664062473,1,1,10.33517828868476,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1478,0.0,0.0,0.0,0.0,,0,0,0,1.892378173828135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.220469758358378,-0.0424338490884604,1.892378173828135,1,1,9.62350786893034,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1569,0.0,0.0,0.0,0.0,,0,0,0,4.02015600585937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099781497928263,0.0228345738576023,4.02015600585937,2,2,11.176170807451737,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::161,0.0,0.0,0.0,0.0,,0,0,0,68.10433471679687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103710018764316,0.0006619471412005,68.10433471679687,6,34,17.747820768747424,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::162,0.0,0.0,0.0,0.0,,0,0,0,25.892950195312487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0502072613729362,-0.0111100460909341,25.892950195312487,7,13,10.89095465109847,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::165,0.0,0.0,0.0,0.0,,0,0,0,37.89563354492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082790556698546,0.0017475213731522,37.89563354492188,6,19,10.830982345308216,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1695,0.0,0.0,0.0,0.0,,0,0,0,17.991183349609386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666890120330085,0.0226056716243342,17.991183349609386,5,9,11.950434775801218,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1700,0.0,0.0,0.0,0.0,,0,0,0,2.0058081054687484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078056306170798,0.0014699169058505,2.0058081054687484,1,1,9.415747285261878,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1733,0.0,0.0,0.0,0.0,,0,0,0,20.099644042968748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0742805171994883,0.0154456093719443,20.099644042968748,5,10,9.965540181506295,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::174,0.0,0.0,0.0,0.0,,0,0,0,91.76898266601565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0218120498256705,-0.0054126660311459,91.76898266601565,9,46,11.581810598361209,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1752,0.0,0.0,0.0,0.0,,0,0,0,12.11456713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0240862392040977,-0.0047168051829911,12.11456713867188,5,6,9.728623159096816,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1756,0.0,0.0,0.0,0.0,,0,0,0,9.98365502929687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0772980868147009,-0.0146852952214956,9.98365502929687,2,5,9.464247990818754,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1774,0.0,0.0,0.0,0.0,,0,0,0,8.006153076171874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868644185431418,0.0175914713382917,8.006153076171874,3,4,9.888850702586405,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1804,0.0,0.0,0.0,0.0,,0,0,0,48.017649414062504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164738027720439,-0.0083436653654162,48.017649414062504,7,24,20.03893697983387,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::181,0.0,0.0,0.0,0.0,,0,0,0,27.945229736328113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152211611095809,0.0036407874367919,27.945229736328113,6,14,10.387484684001413,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::1881,0.0,0.0,0.0,0.0,,0,0,0,27.809624999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061352402675654,0.0018320000329296,27.809624999999997,9,14,10.566862799321312,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::197,0.0,0.0,0.0,0.0,,0,0,0,11.917672119140626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0260788341509011,-0.0055109520964933,11.917672119140626,4,6,10.497286369561548,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::200,0.0,0.0,0.0,0.0,,0,0,0,6.022608886718739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853410474665434,0.0183157501700632,6.022608886718739,3,3,10.984737882322394,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2006,0.0,0.0,0.0,0.0,,0,0,0,33.98430297851563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218485078367532,0.0097325693445073,33.98430297851563,4,17,20.028683545150727,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::208,0.0,0.0,0.0,0.0,,0,0,0,1.9703229980468748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1622058567653772,-0.0387175651529993,1.9703229980468748,1,1,11.934700116593946,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::21,0.0,0.0,0.0,0.0,,0,0,0,69.95084204101563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077132581285266,0.002385274979905,69.95084204101563,5,35,15.266199891403584,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::216,0.0,0.0,0.0,0.0,,0,0,0,2.0001579589843743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239934328961029,0.0617366864143408,2.0001579589843743,1,1,9.527459532511315,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::217,0.0,0.0,0.0,0.0,,0,0,0,1.9985358886718816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3601422500053343,-0.0856014833812211,1.9985358886718816,1,1,11.88439892569578,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2237,0.0,0.0,0.0,0.0,,0,0,0,12.004641845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0988018091259504,-0.0201669649237548,12.004641845703125,3,6,10.229816072166004,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2268,0.0,0.0,0.0,0.0,,0,0,0,10.055107666015624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016102240076647,-0.0055019642386373,10.055107666015624,4,5,11.017398200955952,0.0
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::2285,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,0,1,92.02396191406253,0.0108667349155631,0.0,0.0108667349155631,0.0108667349155631,1.0986122886681098,0.0049008798486416,0.0,0.0049008798486416,0.0049008798486416,0.0015223754248563,0.0007792420852506,92.02396191406253,3,46,21.839412623217104,0.0049008798486416
2025-11-17,SBA_NAI,100XIAV013,2025-11-17::SBA_NAI::100XIAV013::100XIAV013::231,0.0,0.0,0.0,0.0,,0,0,0,89.98844995117187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012293657332233,0.002311346227683,89.98844995117187,7,45,9.558161321930196,0.0
