date,condition,movie,conditioned_ci,conditioned_n_tracks,conditioned_n_events,conditioned_median_receptor_contrast_percent,tracking_qc_status,tracking_qc_flags,raw_detections_per_frame_median,spot_snr_median,accepted_tracks,median_track_length,track_weighted_exact_pair_fraction,exact_step_near_search_fraction,exact_step_q95_um,quality_threshold,search_range_pixels,conditioned_qc_filter,conditioned_excluded_by_filter,conditioned_min_movie_tracks,conditioned_excluded_by_min_movie_tracks,conditioned_included_in_date_average,conditioned_top_fraction,conditioned_high_gradient_cutoff_percent,conditioned_window_label
2025-11-17,SBA_noNAI,100XIAV024,0.11456529327263293,29,78,20.019764642523842,pass,,175.0,4.713682329721368,105,45.0,0.8695672806474208,0.0066330591668877,0.3733149658419789,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV025,0.06537730551446883,16,73,19.66836607778129,pass,,48.0,10.752323989261525,35,55.0,0.9303180065073082,0.0097465886939571,0.5279332259036562,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV026,0.19325539096270425,196,689,21.68509629438175,warning,elevated_exact_step_median,297.0,3.5410763035272597,334,51.5,0.8509764744282782,0.0108514190317195,0.4399340219614133,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV027,0.20687262845802254,26,93,21.096552662656954,pass,,114.0,5.405883927026243,73,52.0,0.8993606168724617,0.0032082130253448,0.3999357891247263,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV028,-0.04330481694848463,19,125,19.00397887936129,warning,elevated_exact_step_median,21.0,18.254694531611054,26,133.5,0.9658901800411296,0.0054411193159735,0.5169500352189189,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV029,0.14453241230948632,18,88,12.223285769796231,pass,,52.5,9.665656460806176,46,58.0,0.9755149571441828,0.0121608980355472,0.5492619217632472,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-17,SBA_noNAI,100XIAV030,0.018854334115256326,24,75,14.313354224063186,pass,,60.0,5.788375064472769,90,54.0,0.8761132125044212,0.0046459468119192,0.3037530077631998,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-24,SBA_NAI,100XIAV030,0.31185679809114814,95,173,12.617485439427067,pass,,1062.5,7.90840377480523,1463,47.0,0.926064303826064,0.0046897593892891,0.2358975690810286,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-24,SBA_NAI,100XIAV031,0.03635708721953259,39,72,11.935067837292435,pass,,634.5,9.78913296843156,967,56.0,0.9312032611291148,0.0030806370252936,0.1744645390490312,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
2025-11-24,SBA_NAI,100XIAV032,0.09442235385069839,35,60,10.90780653745415,pass,,754.5,7.819452149023367,958,73.0,0.9176122589504608,0.0032464549324676,0.169838024883911,0.001,8.0,support_gated_trackable_movies,False,5,False,True,0.1,9.1966917756456,top 10.0% first-passage finite-aperture cue gate
