date,condition,movie,conditioned_successful_passage_fraction,conditioned_escape_passage_fraction,conditioned_signed_passage_fraction,conditioned_decision_fraction,conditioned_productive_share,conditioned_up_passage_count,conditioned_down_passage_count,conditioned_decision_count,conditioned_first_passage_risk_time_s,conditioned_up_first_passage_score_s,conditioned_down_first_passage_score_s,conditioned_net_first_passage_score_s,conditioned_signed_first_passage_rate_s,conditioned_episode_drift_speed_um_s,conditioned_episode_receptor_gain_rate_s,conditioned_selected_time_s,conditioned_n_tracks,conditioned_n_episodes,conditioned_n_events,conditioned_median_receptor_contrast_percent,conditioned_up_first_passage_rate_s,conditioned_down_first_passage_rate_s,conditioned_decision_first_passage_rate_s,conditioned_excess_first_passage_rate_s,conditioned_first_passage_directional_index,conditioned_first_passage_log_rate_ratio,tracking_qc_status,tracking_qc_flags,raw_detections_per_frame_median,spot_snr_median,accepted_tracks,median_track_length,track_weighted_exact_pair_fraction,exact_step_near_search_fraction,exact_step_q95_um,quality_threshold,search_range_pixels,conditioned_qc_filter,conditioned_excluded_by_filter,conditioned_min_movie_tracks,conditioned_excluded_by_min_movie_tracks,conditioned_included_in_date_average,conditioned_top_fraction,conditioned_high_gradient_cutoff_percent,conditioned_passage_distance_um,conditioned_window_label
2025-11-17,SBA_NAI,100XIAV013,0.05178747015030201,0.03370206489675516,0.018085405253546846,0.08548953504705717,0.7195121951219512,37,13,50,5581.460693115235,0.011101377390857092,0.014071478400056058,-0.0029701010091989642,-0.0029701010091989642,-0.010903382667533693,-0.0017635959763363574,5767.257300781251,226,801,2885,10.92811499068208,0.006629089056497293,0.0023291393982287785,0.008958228454726071,0.004299949658268514,0.48,1.0216512475319812,warning,moderate_exact_frame_continuity;elevated_exact_step_median;high_detector_candidate_density,1596.5,3.308913096890044,1062,34.0,0.8465706496926134,0.0166553783634012,0.6278301571343918,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV014,0.020013802622498276,0.014492753623188406,0.005521048999309869,0.03450655624568668,0.8,6,1,7,4121.342495605469,0.008059151554130688,0.007251888317534773,0.0008072632365959153,0.0008072632365959153,0.00211261706638176,-6.029114549149592e-05,4147.340712646484,69,302,2075,11.145707021815113,0.0014558362976136339,0.00024263938293560565,0.0016984756805492396,0.0012131969146780283,0.7142857142857143,1.466337068793427,pass,,293.0,6.463869612093284,365,44.0,0.8555048212755912,0.0074050565957896,0.3495004792515714,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV015,0.05443871706758304,0.012027491408934707,0.04241122565864834,0.06646620847651775,0.8333333333333334,17,3,20,4365.355399414063,0.01467348323392922,0.004692562933416594,0.009980920300512626,0.009980920300512626,0.011697659859049145,0.0031444859146022176,4587.388767822265,97,430,2293,10.710844280776595,0.003894299190916234,0.0006872292689852178,0.004581528459901452,0.0032070699219310162,0.7,1.6094379124341003,warning,moderate_exact_frame_continuity,539.0,4.893981432494796,677,43.0,0.8410959060545625,0.0084538688386462,0.3894438971959852,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV016,0.022537878787878787,0.022727272727272728,-0.00018939393939394124,0.045265151515151515,0.75,3,1,4,1919.7078103027343,0.0003163804261752417,0.01057326901646825,-0.010256888590293008,-0.010256888590293008,-0.000618603598443731,0.001040752485779741,1923.5839743652343,22,125,962,12.422419703630244,0.0015627378207764366,0.0005209126069254788,0.0020836504277019154,0.0010418252138509577,0.5,0.8472978603872037,warning,moderate_exact_frame_continuity,159.0,6.061916501150966,181,39.0,0.8463837945832664,0.0054773082942097,0.2855630920016441,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV017,0.040178571428571425,0.0,0.040178571428571425,0.040178571428571425,1.0,3,0,3,1491.3366584472656,0.01664714582310266,0.0,0.01664714582310266,0.01664714582310266,0.023861300517882364,0.004904212424737508,1497.3371704101562,32,86,749,10.726037575142069,0.0020116182238311695,0.0,0.0020116182238311695,0.0020116182238311695,1.0,1.9459101490553132,pass,,314.0,6.05271906343873,244,50.0,0.8953307657524898,0.003454231433506,0.2482181433866164,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV018,0.07285182015389888,0.027272184790981785,0.04557963536291709,0.10012400494488066,0.8072916666666666,71,15,86,13021.368758789064,0.014271379850155478,0.009646283540149073,0.004625096310006404,0.004625096310006404,0.00798872995407092,0.002085160487851507,14007.278363281252,266,1431,7006,10.69807257640621,0.005452575786403174,0.001151952630930248,0.006604528417333422,0.004300623155472926,0.6511627906976745,1.5288574257747611,warning,moderate_exact_frame_continuity;elevated_exact_step_median,1482.5,3.774422922160339,2049,49.0,0.82271092642244,0.0104997900041999,0.4163303617639399,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_NAI,100XIAV019,0.07469696969696969,0.026515151515151512,0.04818181818181818,0.10121212121212121,0.8333333333333334,22,5,27,4948.868816162109,0.01155014334096032,0.012820490648915484,-0.0012703473079551646,-0.0012703473079551646,0.01233479933593223,0.0015305164422074987,5272.798473876953,110,453,2637,11.005220045299204,0.004445460329874169,0.0010103318931532202,0.005455792223027389,0.003435128436720949,0.6296296296296297,1.4087672169719492,warning,moderate_exact_frame_continuity;elevated_exact_step_median,940.0,3.900639421182207,874,47.0,0.8209216251313716,0.009389902168035,0.3590613320287268,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV006,0.02304964539007092,0.0070921985815602835,0.015957446808510637,0.030141843971631204,0.75,4,1,5,1307.8928491210938,0.005475534699225191,0.0035175841869366275,0.001957950512288564,0.001957950512288564,0.018333652612395186,0.008512661015134858,1337.7735119628908,47,157,669,10.77605374743835,0.0030583545148121323,0.0007645886287030331,0.003822943143515165,0.002293765886109099,0.6,1.0986122886681098,warning,elevated_exact_step_median,699.0,2.9965655494533503,365,38.0,0.8969592702704933,0.0115979381443298,0.5267962534625081,0.005,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV007,0.07111111111111111,0.0,0.07111111111111111,0.07111111111111111,1.0,4,0,4,479.53441918945316,0.005867692814820871,0.0,0.005867692814820871,0.005867692814820871,0.023223235877857195,0.011323179797317489,531.4865803222657,15,53,266,11.163008015911114,0.008341424181315525,0.0,0.008341424181315525,0.008341424181315525,1.0,2.1972245773362196,warning,elevated_exact_step_median,522.0,2.55856810837483,192,33.0,0.8513253493461929,0.0170528266913809,0.5692141405250889,0.001,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
2025-11-17,SBA_noNAI,100XIAV008,0.07629475403021109,0.0,0.07629475403021109,0.07629475403021109,1.0,17,0,17,1643.8203081054685,0.011335416032987001,0.0,0.011335416032987001,0.011335416032987001,0.03575798180055929,0.010001275064609336,1821.841950439453,38,206,911,12.680104584562972,0.010341762975049747,0.0,0.010341762975049747,0.010341762975049747,1.0,3.5553480614894135,warning,moderate_exact_frame_continuity;elevated_exact_step_median,256.0,3.465486844383965,220,35.5,0.8382504978215423,0.0123543591803937,0.5119911139326447,0.005,8.0,support_gated_trackable_movies,False,10,False,True,0.1,9.1966917756456,0.75,top 10.0% exact-step finite-aperture cue gate; 0.75 um passage
