series,time_s,msd_um2,lo_um2,hi_um2
polarized_experiment,30.0,0.017903604809913994,0.013250159409715323,0.07133724678522271
polarized_experiment,60.0,0.04862316743827122,0.036856192129629047,0.1735271498645751
polarized_experiment,90.0,0.08595521541950081,0.06135243764172284,0.32200366372444383
polarized_experiment,120.0,0.12847222222222232,0.08997770919067227,0.4409722222222223
polarized_experiment,150.0,0.1655034917091836,0.11002143318329424,0.6125698182397942
polarized_experiment,180.0,0.22763932246502513,0.15537369746502513,0.7756275636194756
polarized_experiment,210.0,0.3086284722222209,0.2097977826491472,0.9773090277777776
polarized_experiment,240.0,0.3680555555555543,0.2118055555555543,1.20681423611111
polarized_experiment,270.0,0.4624999999999983,0.2866269600509298,1.4156249999999981
polarized_experiment,300.0,0.53125,0.30341184165484925,1.59375
polarized_experiment,330.0,0.5824652777777777,0.3289930555555551,1.734691840277777
polarized_experiment,360.0,0.6389544753086411,0.37332947530864113,1.930175533755012
polarized_experiment,390.0,0.7304727392258986,0.3973477392258979,2.2245169136086123
polarized_experiment,420.0,0.8286621900826427,0.5041483011937542,2.4085910238751147
polarized_experiment,450.0,0.9203308823529425,0.5295044360719507,2.7112770629084992
polarized_experiment,480.0,0.9888739804555244,0.5982489804555244,2.957194292955523
polarized_experiment,510.0,1.0069444444444446,0.5615041298888699,3.179201388888889
polarized_experiment,540.0,1.1502878451788145,0.6718156229565921,3.654701603526138
polarized_experiment,570.0,1.2784963151927433,0.7378713151927435,3.956311397837374
polarized_experiment,600.0,1.4054248062805188,0.8197441274508012,4.311884828926439
polarized_experiment,630.0,1.4406431253630918,0.7628280427184627,4.492400260724124
polarized_experiment,660.0,1.5894132653061208,0.8612423094237665,4.957468820861678
polarized_experiment,690.0,1.636201923076924,0.8696202904238634,5.223875534188038
polarized_experiment,720.0,1.7092235331632635,0.8967235331632635,5.615473533163264
polarized_experiment,750.0,1.7774567407024784,0.8357129135419832,5.864649557337641
polarized_experiment,780.0,1.9414721074380168,0.9952915518824603,6.170646491158343
polarized_experiment,810.0,2.197265625,1.1257740610561033,6.6405142786281175
polarized_experiment,840.0,2.256227043158862,1.1992239416427741,7.009452666741623
polarized_experiment,870.0,2.2451140580199023,1.0886146249133282,7.11413240982046
polarized_experiment,900.0,2.394275507651086,1.253650507651086,7.298789396539973
polarized_experiment,930.0,2.6517570657797043,1.367034843557481,7.964257065779704
polarized_experiment,960.0,2.7617217640817917,1.4405412085262363,8.402780791859572
polarized_experiment,990.0,2.8750419777245435,1.550937039452938,9.18101534778882
polarized_experiment,1020.0,2.8632812499999987,1.4646508487654308,9.168148100321392
polarized_experiment,1050.0,3.008527277147696,1.5764508308667036,9.674237153690907
polarized_experiment,1080.0,3.1074406550480758,1.5864202468848123,9.924831351958002
polarized_experiment,1110.0,3.2991865854546356,1.7677195715657472,10.440373375267514
polarized_experiment,1140.0,3.3314197407312096,1.807658646056655,10.437956123928444
polarized_experiment,1170.0,3.3893842186065197,1.8264103835473495,10.788353400804198
polarized_experiment,1200.0,3.3702110427522496,1.7887588950122235,10.962472680275875
polarized_experiment,1230.0,3.4129347628926747,1.747397454219206,11.15980959774536
polarized_experiment,1260.0,3.578641131748434,1.8550238477978185,11.268331214393058
polarized_experiment,1290.0,3.6707031250000015,1.9663026147959182,11.379518695477502
