branch,trajectory,n_points,final_x_um,final_y_um,max_radius_um,contour_length_um
polarized,traj_0.h5,256,0.8912362882091219,-2.535891769682733,3.159603712483755,28.078458482512772
polarized,traj_1.h5,256,-0.463561835630586,-0.4323862572054802,1.3473690191890582,14.431638925069096
polarized,traj_2.h5,256,-1.6234101040354025,-4.822002209880854,5.267530183065612,26.4598364616202
polarized,traj_3.h5,256,7.02149106707261,1.866587038190026,7.437071152303966,48.098162737167335
polarized,traj_4.h5,256,-0.8886013214835055,0.45633855912819976,1.1753753542696646,11.872667129785004
polarized,traj_5.h5,256,-0.5740967659140349,2.775181975354193,3.3040783249810026,39.273062310965415
polarized,traj_6.h5,256,-0.19403908440851583,1.526470599807858,1.927372334339267,17.895801276296424
polarized,traj_7.h5,256,-2.2176532420037582,-7.540816937496713,9.512569980649198,76.73896026457471
polarized,traj_8.h5,256,-1.8128278734753915,0.21173518828014673,4.3947860404425985,42.75790811787876
polarized,traj_9.h5,256,-2.236897023904391,-6.592184979456144,8.995639144809786,66.78775281280066
polarized,traj_10.h5,256,-0.0009636554128898994,2.0989809043192458,4.433961484272628,52.70851705448221
polarized,traj_11.h5,167,-0.1580970290844825,0.07888000449619666,0.34230692774072996,3.272908169109804
polarized,traj_12.h5,168,-0.0993959064034004,0.5647614505525981,0.7576642208266557,3.331468558659101
polarized,traj_13.h5,256,-2.133790872133934,0.8608855314164146,4.152895191682571,32.22733684929996
polarized,traj_14.h5,256,-0.5618145456180469,0.824277214085721,1.3439691026362526,8.33128985085103
polarized,traj_15.h5,256,-1.1043546847705443,-0.12103070318442634,1.9105866463482266,42.65290349812014
polarized,traj_16.h5,256,0.6368772779912872,0.32973056691102387,1.095900535078036,15.788543628786218
polarized,traj_17.h5,256,-2.104484348283537,2.5524872960566563,3.877321842260104,41.75676934636224
polarized,traj_18.h5,256,0.23958092527599167,1.3411752599873672,1.9489228218092651,19.60152851292017
polarized,traj_19.h5,256,2.0961514847945115,0.9463789693431598,2.4388612866928767,22.023025103739805
polarized,traj_20.h5,256,-0.80714740483987,3.8165715964216993,4.304400859062059,27.710288643060814
polarized,traj_21.h5,256,0.6468681308401675,0.10089296508784495,1.1628377770922773,23.109611602515084
polarized,traj_22.h5,256,1.039161761791491,2.007127065895737,2.487669729096002,21.975809660794013
polarized,traj_23.h5,256,0.1289029081756129,-0.22169572233777168,0.8353382432120061,13.79868386061063
polarized,traj_24.h5,256,-2.690606533519646,-1.2169782104193945,4.312963680894688,34.6264746498059
polarized,traj_25.h5,256,3.181821516555712,1.844801354287459,4.286411802381126,43.56252879144711
polarized,traj_26.h5,256,0.024647282221299062,0.7578432399637154,2.674898125694565,26.401852830406476
polarized,traj_27.h5,256,0.43698881257017,1.3856077708087715,2.0092443296586255,16.341737238507445
polarized,traj_28.h5,256,-2.4044079491969095,-1.0830231628491205,5.338905371596959,70.56048610502317
polarized,traj_29.h5,256,0.355923944524148,0.1634778698705053,1.6653707512106477,30.68466109379053
polarized,traj_30.h5,256,0.0505872005913893,-0.9959257131493514,2.213090523737398,17.727412939595553
polarized,traj_31.h5,256,0.4638517712507612,1.146702806266642,2.3079833482011223,23.355614541986917
polarized,traj_32.h5,256,-3.1657774932571994,2.9568028594356774,4.387792455939244,37.30068123526075
polarized,traj_33.h5,256,-1.4282049517898359,2.928085810519211,3.7109802081954366,39.36508014004821
polarized,traj_34.h5,256,2.1600782781494563,2.043536996827562,3.27273328494935,30.110937744389208
polarized,traj_35.h5,256,-0.22834878546581203,-0.8421529865364867,1.8990863779505045,28.118406633435036
polarized,traj_36.h5,256,0.005047603928620187,1.7689196308864181,2.55689509693504,27.547245248352425
polarized,traj_37.h5,256,0.8120135372569115,-0.09954892988067075,1.2523198151340016,13.029527085408333
polarized,traj_38.h5,256,-0.5773639883604732,-0.7764257372343074,1.253917251288177,14.878942380180039
polarized,traj_39.h5,256,-1.3835923666086418,0.5046820866801982,3.915191447639563,48.514527845081204
polarized,traj_40.h5,256,-2.397497365164446,0.9153697028644517,2.8336215788831884,52.13049279226421
polarized,traj_41.h5,256,-1.2026461921471594,0.5739047113828296,1.5752713793463033,12.772727645439964
polarized,traj_42.h5,256,-2.026953938865938,-0.7848606426153759,3.078395520799415,31.686869533772903
polarized,traj_43.h5,256,1.6562325272870806,2.0314610535686115,3.444958309341483,35.41691520686848
polarized,traj_44.h5,256,-0.7067527965444249,6.494545264581725,7.153428351563237,44.748571689795654
polarized,traj_45.h5,256,-1.9660989125688766,-4.499168734653317,7.802845696356527,61.55794400037404
polarized,traj_46.h5,256,-4.150248451516009,2.0010526556488557,4.812236660893302,53.205195616426195
polarized,traj_47.h5,256,1.6891513746033047,0.5488385515275017,1.9872218499149608,16.83190376693568
polarized,traj_48.h5,256,-0.8240281721804255,1.1467165370924597,2.066041360455693,24.11976101020682
polarized,traj_49.h5,256,-1.7821013143676216,-0.04254075480483584,2.0902901312834925,17.282138870985648
polarized,traj_50.h5,256,0.02724566348119695,0.1255915933190558,1.131456638444706,17.18981094573603
polarized,traj_51.h5,256,2.1307506305791555,-1.1697862245419628,2.741808941922168,30.5576688928383
polarized,traj_52.h5,256,-1.8689213751825449,-4.396877173171314,6.163492873896332,50.23420577979377
polarized,traj_53.h5,256,0.8630108693457544,-3.712597144621192,4.926922176197119,50.86731105197325
polarized,traj_54.h5,256,0.0763593696964066,1.627100201119875,2.2351127469880203,26.677622017891267
polarized,traj_55.h5,256,-1.2652233024530073,0.17767831805798553,1.751420191605518,17.01648605666657
polarized,traj_56.h5,256,-0.4559381009786657,3.4516033331412905,4.642580326050629,45.7785498601755
polarized,traj_57.h5,256,-0.6854782664394736,2.6246210887397776,2.965381942060619,36.7858560429168
polarized,traj_58.h5,256,-0.6844982262819648,0.3428659922872718,1.280831314019718,12.938102460732624
polarized,traj_59.h5,256,-3.9588812830899753,-2.3907501556226873,5.668843523202293,34.15666089092071
polarized,traj_60.h5,256,-1.2347186087273558,2.543360467428444,3.272838585684375,33.199183990971434
polarized,traj_61.h5,256,1.2756348719059534,0.29012088288217525,2.3121876270757653,35.13840388823222
polarized,traj_62.h5,256,-0.08413478581841607,1.5884812895192082,2.7926236181123194,30.188018761365967
polarized,traj_63.h5,256,4.3063970042949675,-2.3697759015360416,5.171951059432013,33.97905116018132
mixed,traj_0.h5,207,0.6635073989282632,-0.38745326500593347,0.8686093864086244,4.507073200812599
mixed,traj_1.h5,256,-0.3265188147815746,0.37367187777676886,1.30688860891146,12.6281178287123
mixed,traj_2.h5,256,0.8526036374383209,-1.5067945409218255,1.9423510432372835,8.93217862684562
mixed,traj_3.h5,256,-1.7016693313676023,0.5352789392379085,2.1301207434309863,14.999890027784595
mixed,traj_4.h5,74,-0.00025980472472031136,-0.20630407911371593,0.30934972949045314,1.5101785950643438
mixed,traj_5.h5,256,2.335272506655175,1.0341226081819899,3.063460495106111,11.696542894541064
mixed,traj_6.h5,256,-0.5512635115894206,-1.4612281806006644,1.9149972278711536,11.574890458881093
mixed,traj_7.h5,256,0.8881730551950228,0.28858491929621904,1.3323287109424187,11.9040222453678
mixed,traj_8.h5,256,1.3840102954717228,-0.47939774915724964,1.524732029927815,9.076287172088872
mixed,traj_9.h5,156,0.20150200812154923,-0.3269799810871588,0.5451584129452755,3.055457546038633
mixed,traj_10.h5,256,-0.11560537109768408,0.6029301736436967,0.792319169763075,6.945027972443501
mixed,traj_11.h5,256,-0.32112560708851967,-4.45326247228624,4.547217927579944,25.026316105187178
mixed,traj_12.h5,215,-0.8008801439532701,0.7357811074606718,1.1710892235599137,4.802907792968782
mixed,traj_13.h5,174,-0.16527592890921747,0.033986617473943936,0.4541557407474189,3.807013035819846
mixed,traj_14.h5,256,-2.345477436191196,-1.0513667764409527,3.293316166302816,16.77136378327399
mixed,traj_15.h5,256,-1.5472593813745625,0.7167719794921216,2.2846983524579074,21.61002507676867
mixed,traj_16.h5,256,1.2391204030661749,1.6634677330386236,2.4758727916256102,19.812924836598494
mixed,traj_17.h5,256,2.3613559253871004,2.7361379693142043,3.8173725424977634,23.215834357670953
mixed,traj_18.h5,73,0.07527772595541198,-0.07448444892844236,0.2344189448359093,1.4355389810511132
mixed,traj_19.h5,256,0.32026145770909575,-0.7080578867507851,1.1457143710286621,9.601690276669775
mixed,traj_20.h5,129,0.18237060006766154,-0.39903402015383793,0.49706732041251567,2.746462842336269
mixed,traj_21.h5,256,-0.7957848557539408,-0.2036451131550038,1.5360197613541693,8.645054014089768
mixed,traj_22.h5,256,0.6034704048360133,0.20340999364516893,1.1623479078902443,9.87555933342421
mixed,traj_23.h5,256,-0.48249699566992377,0.29147499688111833,1.1970062025158155,14.098582876831799
mixed,traj_24.h5,256,0.4692371104395901,-1.5274316749039218,2.074122405588619,20.33859455778663
mixed,traj_25.h5,256,-0.9871982010276805,-0.7507881802430619,1.5177466035558336,10.275714363746507
mixed,traj_26.h5,256,-0.08976532169247296,4.2901522279105455,4.2955533806697614,12.288741796717417
mixed,traj_27.h5,137,0.4226334121782021,0.09933012608310289,0.5295702791410895,3.0646316643573224
mixed,traj_28.h5,256,1.162774306352788,-1.8405191537353047,3.167655894261188,22.6016021612173
mixed,traj_29.h5,256,-0.3245156353388521,1.2177934930684615,1.3462577025837592,7.05608535695778
