architecture,K_D,n_trajectories,directional_persistence_time,lower_interval,upper_interval
polarized,1.0,64,485.5001397812634,409.3286607624672,638.9433900480294
polarized,10.0,64,164.80269006612468,138.1290574298279,275.88482212363374
polarized,100.0,64,447.2007767738858,382.5678834008645,542.2438228721381
polarized,500.0,64,1374.6102403447587,1139.2763098925543,1699.2607750385332
mixed,1.0,64,267.1624338684314,232.0431974077108,333.8557208566681
mixed,10.0,64,38.32872250717953,31.517748581027018,47.08587792458954
mixed,100.0,64,55.8031769258638,47.01499175794553,70.1800343998811
mixed,500.0,64,226.79565431587133,168.12842774643156,267.59977565391745
