architecture,n_binders,mean_attachments,diffusivity_shift_at_optimum
mixed,4.0,0.1321330505039452,0.0145570606720636
mixed,10.0,4.57731874169152,0.386507868149625
mixed,16.0,8.828369755233924,0.1843258338222772
polarized,4.0,1.9563014193126704,0.6924710148366563
polarized,10.0,0.9580709433660708,0.6043246207211486
polarized,16.0,0.6733351601687431,0.1342655379796986
