architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,100.0,0.0,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0,397.5347811032656,0.0,1.0,0.0,0.0,0.0,0.0
polarized,100.0,0.01,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0032605530078137,397.5347811032656,0.0016901328130619,1.0,0.0017312003895968,0.0529094083192224,1.2961832262368378,0.0016901328130619
polarized,100.0,0.0108047182231812,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0033874738743171,397.5347811032656,0.0018242746034731,1.0,0.0018704384744746,0.0549659809381612,1.3466386851196817,0.0018242746034731
polarized,100.0,0.0116741935882345,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0035192628577038,397.5347811032656,0.0019689818611193,1.0,0.0020208687744642,0.0571011977371983,1.399029389782161,0.0019689818611193
polarized,100.0,0.0126136372203744,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0036561007304505,397.5347811032656,0.0021250766949909,1.0,0.0021833898475494,0.0593179603439694,1.4534272035711306,0.0021250766949909
polarized,100.0,0.0136286795935577,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0037981744806986,397.5347811032656,0.0022934439264338,1.0,0.0023589722080462,0.0616192686567612,1.509906460776544,0.0022934439264338
polarized,100.0,0.0147254042762412,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0039456774828527,397.5347811032656,0.0024750357145554,1.0,0.0025486640579018,0.0640082234157193,1.5685440344499504,0.0024750357145554
polarized,100.0,0.0159103843927215,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0040988096687943,397.5347811032656,0.0026708765024792,1.0,0.0027535974692636,0.0664880287702819,1.6294194044681107,0.0026708765024792
polarized,100.0,0.0171907220185857,10.0,10.0,0.5274619862312134,0.0527461986231213,0.004257777699237,397.5347811032656,0.0028820683040318,1.0,0.002974995052922,0.0690619948341337,1.692614725652583,0.0028820683040318
polarized,100.0,0.0185740907463857,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0044227951346777,397.5347811032656,0.0031097963512599,1.0,0.0032141771498016,0.0717335402180606,1.7582148957287131,0.0031097963512599
polarized,100.0,0.0200687816766496,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0045940826053363,397.5347811032656,0.0033553351239779,1.0,0.0034725695852679,0.0745061945298943,1.826307622882688,0.0033553351239779
polarized,100.0,0.0216837531098743,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0047718679794022,397.5347811032656,0.0036200547833055,1.0,0.0037517120288841,0.0773836008295334,1.896983492645366,0.0036200547833055
polarized,100.0,0.0234286842373223,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0049563865288254,397.5347811032656,0.0039054280318659,1.0,0.0040532670051603,0.0803695180256683,1.9703360337997908,0.0039054280318659
polarized,100.0,0.0253140331524156,10.0,10.0,0.5274619862312134,0.0527461986231213,0.0051478810917975,397.5347811032656,0.004213037423951,1.0,0.0043790296040607,0.0834678231994131,2.0464617829733966,0.004213037423951
