architecture,K_D,n_trajectories,speed,lower_interval,upper_interval
polarized,1.0,64,0.0175498750819767,0.0128437484343782,0.0208469259060085
polarized,10.0,64,0.0688707957539694,0.0590529370889839,0.0772141236639745
polarized,100.0,64,0.0527467282050002,0.0453130182947441,0.0627033159953131
polarized,500.0,64,0.0177638283941028,0.0137755490842742,0.0200839878291443
mixed,1.0,64,0.0655101190505074,0.0593565638433171,0.0711267362636254
mixed,10.0,64,0.1187880582289827,0.0983875897939143,0.1361570898942591
mixed,100.0,64,0.0474384193287303,0.0391996266617214,0.0546209666372773
mixed,500.0,64,0.013289030222024,0.0038948355587051,0.0183934122487406
