architecture,K_D,speed
polarized,1.0,0.0203173373296125
polarized,1.017461587793829,0.0205611209733847
polarized,1.0352280826359388,0.020807640771697
polarized,1.0533048086875232,0.0210569229183322
polarized,1.0716971830780824,0.0213089935525087
polarized,1.0904107175287991,0.0215638787370069
polarized,1.1094510200042598,0.0218216044478652
polarized,1.128823796393017,0.0220821965538154
polarized,1.1485348522174963,0.0223456807990232
polarized,1.1685900943737644,0.0226120827878919
polarized,1.1889955329016704,0.0228814279673503
polarized,1.2097572827859029,0.0231537416104788
polarized,1.2308815657884926,0.0234290488002079
polarized,1.2523747123133138,0.0237073744136671
polarized,1.2742431633031437,0.0239887431048635
polarized,1.2964934721698471,0.0242731792929191
polarized,1.3191323067582668,0.0245607071433823
polarized,1.342166451344402,0.0248513505587157
polarized,1.3656028086684835,0.0251451331585574
polarized,1.3894484020035474,0.0254420782726503
polarized,1.4137103772601272,0.0257422089257133
polarized,1.4383960051277016,0.0260455478264518
polarized,1.4635126832535312,0.0263521173568357
polarized,1.4890679384595449,0.0266619395620606
polarized,1.5150694289979314,0.0269750361413218
polarized,1.5415249468461245,0.0272914284393732
polarized,1.5684424200418552,0.0276111374381619
polarized,1.595829915058981,0.0279341837535215
polarized,1.6236956392248016,0.0282605876219441
polarized,1.6520479431795825,0.0285903689032127
polarized,1.6808953233790265,0.0289235470678594
polarized,1.7102464246404454,0.0292601412025637
polarized,1.740110042733386,0.0296001699981357
polarized,1.7704951270154978,0.0299436517513834
polarized,1.8014107831144248,0.0302906043603391
polarized,1.8328662756565268,0.0306410453256412
polarized,1.8648710310432512,0.0309949917456495
polarized,1.8974346402759803,0.031352460317509
polarized,1.9305668618302112,0.0317134673343784
polarized,1.964277624579916,0.0320780286858087
polarized,1.998577030772971,0.0324461598551454
polarized,2.033475359058543,0.0328178759235157
polarized,2.06898306756733,0.0331931915566147
polarized,2.1051107970456027,0.0335721210178169
polarized,2.1418693740439507,0.033954678154288
polarized,2.1792698141617324,0.0343408764028129
polarized,2.217323325348158,0.0347307287770748
polarized,2.2560413112610287,0.0351242478712985
polarized,2.295435374684118,0.0355214458510468
polarized,2.3355173210042244,0.0359223344475525
polarized,2.376299161748947,0.0363269249491692
polarized,2.4177931181862276,0.0367352281971779
polarized,2.4600116249867514,0.0371472545660295
polarized,2.5029673339502967,0.0375630139609284
polarized,2.546673117797155,0.0379825157996374
polarized,2.591142074025753,0.0384057689982104
polarized,2.636387528837637,0.0388327819539529
polarized,2.68242304113099,0.0392635625262595
polarized,2.729262406563888,0.0396981180166458
polarized,2.7769196616884995,0.0401364551436703
polarized,2.8254090881574823,0.0405785800197028
polarized,2.874745217003825,0.0410244981224299
polarized,2.9249428329954266,0.0414742142652476
polarized,2.976016979065706,0.0419277325650732
polarized,3.0279829608215865,0.0423850564084407
polarized,3.08085635113019,0.0428461884107377
polarized,3.134652994785624,0.0433111303838088
polarized,3.189389013257261,0.0437798832864139
polarized,3.2450808095209256,0.0442524471829726
polarized,3.301745072974444,0.044728821195269
polarized,3.3593987844390276,0.0452090034521873
polarized,3.418059221247992,0.0456929910367128
polarized,3.4777439624243187,0.0461807799301839
polarized,3.538470893948648,0.0466723649537654
polarized,3.60025821411924,0.0471677397071321
polarized,3.663124439005536,0.0476668965053143
polarized,3.72708840799695,0.0481698263069165
polarized,3.79216928944855,0.0486765186540513
polarized,3.858386586425317,0.0491869615900625
polarized,3.9257601425467135,0.0497011415889696
polarized,3.9943101479333056,0.0502190434762711
polarized,4.064057145257223,0.0507406503479113
polarized,4.135022035898269,0.0512659434864419
polarized,4.207226086207523,0.0517949022744056
polarized,4.280690933880321,0.0523275041049498
polarized,4.35543859444052,0.0528637242897018
polarized,4.431491467837972,0.0534035359639281
polarized,4.508872345161228,0.0539469099890176
polarized,4.587604415467426,0.0544938148523194
polarized,4.667711272731467,0.0550442165643837
polarized,4.749216922916511,0.0555980785536511
polarized,4.832145791167954,0.0561553615586529
polarized,4.916522729133014,0.0567160235177766
polarized,5.002373022408124,0.0572800194566729
polarized,5.089722398116383,0.0578473013733772
polarized,5.178597032617307,0.0584178181212381
polarized,5.269023559351216,0.0589915152897413
